ID,SALARY,SEX,EDUCATION,MARRIAGE,AGE,AVERAGE PAYMENT DELAY,DEFAULT
1,"20,000.00",2,2,1,24,2,1
2,"120,000.00",2,2,2,26,-1,1
3,"90,000.00",2,2,2,34,0,0
4,"50,000.00",2,2,1,37,0,0
5,"50,000.00",1,2,1,57,-1,0
6,"50,000.00",1,1,2,37,0,0
7,"500,000.00",1,1,2,29,0,0
8,"100,000.00",2,2,2,23,0,0
9,"140,000.00",2,3,1,28,0,0
10,"20,000.00",1,3,2,35,-2,0
11,"200,000.00",2,3,2,34,0,0
12,"260,000.00",2,1,2,51,-1,0
13,"630,000.00",2,2,2,41,-1,0
14,"70,000.00",1,2,2,30,1,1
15,"250,000.00",1,1,2,29,0,0
17,"20,000.00",1,1,2,24,0,1
18,"320,000.00",1,1,1,49,0,0
19,"360,000.00",2,1,1,49,1,0
20,"180,000.00",2,1,2,29,1,0
21,"130,000.00",2,3,2,39,0,0
22,"120,000.00",2,2,1,39,-1,1
23,"70,000.00",2,2,2,26,2,1
24,"450,000.00",2,1,1,40,-2,1
25,"90,000.00",1,1,2,23,0,0
26,"50,000.00",1,3,2,23,0,0
27,"60,000.00",1,1,2,27,1,1
28,"50,000.00",2,3,2,30,0,0
29,"50,000.00",2,3,1,47,-1,0
30,"50,000.00",1,1,2,26,0,0
31,"230,000.00",2,1,2,27,-1,0
32,"50,000.00",1,2,2,33,2,1
33,"100,000.00",1,1,2,32,0,0
34,"500,000.00",2,2,1,54,-2,0
35,"500,000.00",1,1,1,58,-2,0
36,"160,000.00",1,1,2,30,-1,0
37,"280,000.00",1,2,1,40,0,0
38,"60,000.00",2,2,2,22,0,0
39,"50,000.00",1,1,2,25,1,1
40,"280,000.00",1,1,2,31,-1,0
41,"360,000.00",1,1,2,33,0,0
42,"70,000.00",2,1,2,25,0,0
43,"10,000.00",1,2,2,22,0,0
44,"140,000.00",2,2,1,37,0,0
45,"40,000.00",2,1,2,30,0,0
46,"210,000.00",1,1,2,29,-2,1
